RH
81.15
76.6
77.6
78
75.85
78.6
74.25
76.7
78.6
76.35
74
70.8
68.5
75.2
68.75
64.55
70.65
69.45
78.05
85.45
83.8
92.75
81.55
82.85
76.8
75.05
75.85
81.15
90.35
88.85
91.5
87.4
85.05
82.65
90.9
87.3
84.85
91.95
86.3
85.55
86.3
89.9
90.8
88.8
84.3
90.6
87.75
74.6
78.9
60.65
68.5
67.85
72
63.95
64.3
69.4
68.15
68.3
66.35
69.7
76.6
70.05
67.7
77.6
74.55
81.05
81.45
70.2
68.4
73
72.2
69.3
80.7
84.95
88.05
89.95
87.9
88.8
85.4
87.2
92.45
90.35
85
88.1
92.15
89.95
88.7
91.2
81.25
81.4
89.75
86.45
91
89.85
95.25
89.15
86.7
89.05
93.75
89.85
82.65
94.95
83.6
89.25
90.7
88.9
96.4
93.9
88.3
89.1
89.45
87.7
83.4
82.15
91.65
85.45
84.9
82.3
81.45
82.35
84.85
89.85
89.5
89.4
89.2
88.85
88.75
88.75
88.75
88.7
89
89.4
89.7
94.75
90.7
89.45
95
93.55
84.1
75.65
74.15
68.2
72.85
89.3
86.6
89.5
82.4
85.15
96.6
91.25
91.5
87.95
90.6
95.95
95.2
90.3
89.05
87.55
99.85
96.15
87.8
79.65
91.8
88.4
99
91.85
87.2
91.4
92.05
94.7
88.1
87.1
95.55
86.6
95.85
92.1
87.9
86.5
79.35
85.8
82.8
91
96.4
95.6
77.8
86.8
85.3
79.95
89.45
86.45
84.5
80.7
79.45
81.95
80.55
73.45
64.35
59.8
73.15
87
87.7
86.2
79.45
83.75
82.3
80.55
99.35
92.85
97.2
85.8
80.3
87.45
76
76.8
81
78.4
82.8
90.65
91.75
75.8
78.85
83
72.65
78.65
79.45
83.45
77.6
83.65
82.95
84.75
93.95
90.25
92.5
85.5
83.4
80.55
79
89.25
86.15
79.95
81.95
83.1
88.3
86.35
81.65
88.85
88.35
89.8
90.8
89
93.1
80.6
82.65
82.8
84
86.15
78.65
82.85
81.4
88.35
82.1
85.25
83.2
90.5
80.1
84.75
95.05
86.3
86.95
99.35
83.2
83.2
89.05
